Q1	Massage oil Where I can buy good oil for massage?
Q565	Pilates class Does anyone know of a pilates class which isn't held at a gym? I don't want to have to join a gym as I have a good one at my complext - just want a Pilates class. Any help gratefully received!
Q565_C1	Pilates Classes You can try at The Ritz Carlton Doha QR 50 per class and you can call the club for more information
Q565_C2	Sounds fun. Can I wear an eye Sounds fun. Can I wear an eye patch and shout "Shiver me timbers" ?
Q565_C3	Lots of yoga classes Lots of yoga classes here..good ones
Q565_C4	Pilates Ragdoll....soon I will be moving to Qatar and have been doing Pilates for a few years.  What would you recommend for classes in Doha?
Q565_C5	SFQ Sports Academy holds SFQ Sports Academy holds Adult Fitness Classes in West Bay and Gharaffa locations.   Ladies Only Stott Pilates, Ladies Only and Mixed class Boxercise, Ladies Only Zumba, Mixed class Abs Class, Mixed Cardio Fat Burning class and Ladies Only FlowIn classes are offered.   Please email sfqsportsacademy@gmail.com if you'd like a copy of the Adult Fitness Program.
Q566	Which hospital is better? I need to know whether Apollo clinic is better for treatment or not? If you have any suggesstion, kindly post. Thanks
Q566_C1	RE: Which hospital is better? Naseem Al Rabeeh Medical Centre,Opposite of Birla Public School 4652121
Q567	What exactly is the blood test looking for? I'm looking into working in the middle east, in particular Qatar. I've been a carrier of the Herpes Simplex virus since birth. Will this show up on the blood test and will it affect my application?
Q567_C1	RE: What exactly is the blood test looking for? Well, I haven't taken the blood test yet as I'm moving out there in a couple weeks but from what my employer told me the test is checking for Hepatitus and HIV.  You are also tested for Tuberculosis.  I don't think Herpes is on the list but someone else might know better.  Good luck!
Q567_C2	RE: What exactly is the blood test looking for? No, just Hep B and C and HIV. You'll be fine.
Q567_C3	RE: What exactly is the blood test looking for? Yes, the blood test is for HIV and Hepatitis, and the X-ray is for tuberculosis. The blood test is also to determine your blood type.
Q567_C4	RE: What exactly is the blood test looking for? derangement in the blood that associated with all sort of ailments
Q567_C5	RE: What exactly is the blood test looking for? Well, It's just to check what highly contagious diseases you may have.
Q568	2 Years Ban As I know when we take final exit as per qatar law we can not re-enter before two years in case there is no NOC from employer.  Is there any procedure as in U.A.E to waive the BAN by paying certain amount of fee to immigration dept.  Kindly shed light on it.  Thank you.
Q568_C1	er, you mean a bribe? Well er, you mean a bribe? Well I'm sure if you get caught doing that the 2 year ban will be replaced with 2 years in jail.
Q568_C2	He was asking about a fee o He was asking about a fee o lift to BAN legally.Its a legal procedure in Dubai to lift ban.  not bribe..
Q568_C3	read properly...... read properly first QDCL......
Q568_C4	That's interesting. So laws That's interesting. So laws can be bought and sold in Dubai. If I commit murder in Dubai can I pay a fee to the police to have it waived?
Q568_C5	lol QDCL lol QDCL
Q568_C6	Enjoy ur weekend..... Dear QDCL...whatever,  If you know about the topic comment here, othere wise enjoy ur weekend.
Q568_C7	FYI there are instances that you can get back within short span of time here in doha, stated in the law also, that when you are cleared and given eit visa you cannot come bck to doha until 2 yrs but in cases, there are some companies giving to their employees whom dont have any trouble made or clean and neat in the workplace, no problems give to the company; have given the visa exit clearances only and can come bakc any time since this is EXIT CLEARANCE not CANCELLATION of working visa; by the time you go home already the validity of your pataqa will be counted for; If you have reached the expiration of your pataqa and did not come back as soon as possible then the company ca declare null & void and this will be worked out by the mandoob for automatic cancellation of your working visa......
Q568_C8	FYI in addition, it is also clear stated by the labor law of qatar that once you been cancelled, the working visa is still on working condition but the company whom you have worked for will give you RE-ENTRY VISA for going back here and work with the same company otherwise automatic discharges of the working permt on the side of the company and no more excuses but you will get back after 2 yrs.
Q569	chicken lifestyle poor chicken
Q569_C1	geez..pope! :) <a href="http://tinypic.com" target="_blank"><img src="http://i41.tinypic.com/oi56k2.jpg" border="0" alt="Image and video hosting by TinyPic"></a> geez..pope! :)  <a href="http://tinypic.com" target="_blank"><img src="http://i39.tinypic.com/binubq.jpg" border="0" al
Q570	For people who's car has reached 100k kms hi guys my car recently hit the 100k mark and i am wondering where did you got your car mantained? is it cheap? and is the service good? how much did it cost u and where is the garage you went and what is the name. thanks and please share your thoughts.. :D
Q570_C1	It would help if we knew what It would help if we knew what type of car you had..  Due to its uprated engine, my pink KIA is serviced by a specialist who flies in when required.
Q570_C2	I took mine to a cliff, I took mine to a cliff, released the hand brake and jumped out
Q570_C3	Yes. He's batty, works in the Yes. He's batty, works in the dark, but is a great mechanic.
Q570_C4	Just ignore the mileage. Just ignore the mileage.
Q570_C5	hi britexpat i hope 1 day i can see your pink kia.... Becos werever ther is a question regarding car, u reply about ur pink
Q570_C6	rexter.. Perhaps the easiest way would be to go to the Mitsubishi dealer and have a full check carried out.
Q570_C7	Replace the timing belt of Replace the timing belt of the engine, it should cost you around 600~1000 QR including labour.
Q570_C8	If your tran is auto then If your tran is auto then yes, if not don't bother.
Q571	Most beatiful girls in the world..... Which part of the world has most beautiful girls.   i heard somewhere Lebanese and Egyptians are most beautiful......is it true??
Q571_C1	*** ***
Q572	cancer patient Is there any charity or foundation here that maybe can help to a cancer patient? or Let's just say I am a son of a cancer victim, who doesn't know what to do If I'm going home in PI to be with and to take care of my mom or still stay here in Doha because I am the bread winner in the family and need to work so that I can send them their allowance??? anyone can help me?any good Samaritan??
Q572_C1	thanks for the reply yes, It's really been so hard for me to decide but I really need also to be with my mom, but the problem is I am the bread winner which makes me break my heart into pieces knowing that my mom is suffering from this kind of illness without me at her side.
Q572_C2	thank you what's the name I am going to look to?
Q572_C3	done calling they said that the patient should be here in Doha so that they can make an actions. but unfortunately my mom can't travel anymore. =(
Q572_C4	This is what Im thinking... Dear Kasheem, If Im in your situation I will go back to my back home.I know you are the bread winner.But since your mother cant travell and she cant come to Doha.So you have to go.otherthan suffering.because every single minute you will feel you are living hell.and your mother also happy when you are her side.I know money is main problem.Ask some help people around you.If I have money I will give you.But Im jobless.So ask for help.may be you feel its stupid idea.But I will do same if I were you.asking money is difficult.But in this world most presious one is your mom.So go back.other than suffering.
Q572_C5	mck28 thanks and your comments is really so true but my big problem is I don't have money to use, and I don't know where to ask. It's really so bad that I cant do anything to go back home and be with my mom, my mom missing me a lot and I miss her also. It is already more than a year that I am here in Doha and away from my mother. I love my mom so much because she is the only one who raised us, she is single parent my dad left us when I was just 5 years old. and I know how hard it is being single parent raising 3 kids. and now cant even do anything to be with her side. =(
Q572_C6	Oh Sad to hear that. you may approch Qatar Charity and Qatar red cresent, may they will help
Q572_C7	please contact us at salam,   please contact us at the Qatar National Cancer Society,  44478128
Q573	Is Kia a good car Hello QL,  Is KIA a good car. How about it parts, is it available anywhere. Is it expensive how about the maintenance of this car. Is worth it to buy this type of brand. Im thinking of buying a RIO. please help need advice
Q573_C1	kia Kia is a good car, i am using a 2008 kia optima and it hasnt given me any trouble so far. all i had to change were the break pads  battery, glass wiper and the headlight bulb which are very normal accesories to change in any car. the parts are very cheap. if i recollect i hardly spent less than 500 riyals for the break pads and the glass wiper. the parts are easily available at the kia service centre in industrial area. The pick up is good and  the ac is excellent.  You should consider buying a KIA,
Q573_C2	Don't listen to us.. See what the experts say .. http://www.thecarconnection.com/overview/kia_rio_2013
Q573_C3	There is another CON that can There is another CON that can be resolved with little or no skill.   The cabin AC filters are too small and they easily get stacked with this dusty weather, usually my commute is from very short distances so in 2 years mine is just 13,000kms meaning that I don't do much service in it, one thing I learned is to replace the cabin AC filter kits for maximum efficiency. The kit would cost from 50 to 100 QAR and it only takes 10 minutes to replace it.
Q573_C4	BTW, my first car in Doha was BTW, my first car in Doha was a 2007 Kia Sorento. I bought this car second hand from a British couple. We still have it and my wife is driving it. I've done some offroad at the inland sea and let me tell you, I was shocked with the performance. Our most recent trip was with two friends, both driving their LC Prado (V6 version) and they could not believe what this Sorento was capable of doing.  Kia is probably the most underrated brand. As I said, service is my main concern, other than that it's great for the money.
Q573_C5	What's the warranty here ? 'Cos Kia give a 7 year warranty on new cars sold in UK. Clearly they have faith in their reliability.  I've driven a Kia Sportage and it's OK. Good value for money.
Q573_C6	How about Hyundai Thank QL for giving me these comments and suggestion. How about Hyundai.  I think KIA AND HYUNDAI ARE NOW SEPERATE COMPANY. Any comments on this brand and how they perform on the road. Is it cheaper than KIA? how about it maitenance and parts cost?
Q573_C7	Kia is a good car... Kia is a good car... Sportage is quite good... but not the latest model :(
Q573_C8	favoritetrick, Hyundai is favoritetrick, Hyundai is also pretty good - can not comment on their service since it's run by a different group in Qatar.  Be aware that Kia and Hyundai are very similar in specs and spare parts. I've seen many spare part boxes branded as Kia/Hyundai.
Q573_C9	Its a nice enough car but Its a nice enough car but underpowered particularly in low gears as you start to accelerate - youve really got to "floor it".
Q573_C10	You have to visit KIA SR to You have to visit KIA SR to obtain more information or check the review of the car to http://www.thecarconnection.com/overview/kia_rio_2012  For more info please send your queries to jesnetkia@gmail.com or 55107890
Q573_C11	parts and maintenance is parts and maintenance is cheap but performance is cheap too..better to buy a toyota coz the kia rates are close to toyota too in some models.
Q573_C12	Thank you very much for this Thank you very much for this information. i guess i have to think twice before buying this RIO because i red negative review about this car and just want to know from those who have the experienced using this
Q573_C13	dont make a silly mistake, go dont make a silly mistake, go for Nissan Tiida
Q573_C14	KIA Rio I have a Kio Rio Hatchback since 2005 and absolutely maintenance free so far.Yes the pickup is slow but  its a pleasure driving it. Go for it.
Q573_C15	Kia overall has the best Kia overall has the best prices on the market, compared to most brands in Qatar. Their quality is comparable to these 'top' japanese brands like Toyota, Honda or Nissan.  Now, Chairboy has brought a valid point - the Kia Rio version that is being sold in Qatar is a little bit underpowered. I own a 2010 Rio and besides this, I have no complains about the car. I just I could own a manual version but for security reasons is always better to have automatic shift so other members of the family could drive it.  The pluses are: price and quality and the newer models are much nicer and better looking than its predecessors.  The big NO! particularly in Qatar: the quality of service. Unfortunately they only have ONE service center in this country, which is located in the industrial area. In many cases they could take up to two days just for an oil change... last time the car was seldom washed and they did not vacuum it inside.  There is a big rumour that they will be opening a new service center near the old airport area, unless this is true I would not consider buying a new Kia but if they do, I would give it a go.
Q573_C16	They're similar - the last They're similar - the last time I surveyed, Kia was slightly lower.  Just to give you an idea:  Rio = Accent Elantra = Optima Sportage = Tucson Sorento = Santa Fe etc... etc...
Q573_C17	The best thing you to do is The best thing you to do is to visit all your prospect brand, do a test drive and so on....   KIA RIO (Accent, Aveo, Sunny, Yaris, Honda City, Lancer)  Here in Qatar KIA they are giving 5 yrs warranty or 100000 kms.  Cheers!!
Q573_C18	no! No, because she has no boobies!
Q574	educational! Hi QL!  could anyone here suggest where to find a sites where schedule of different seminars are posted..? and where to enroll an acadmey that offers a voccational or taining courses good for months and on night shift classes..and of course w/ cheap tuition fee.! hehehe  thanks guys!
Q574_C1	VCU offers community VCU offers community courses. Mandi
Q574_C2	VCU's community courses are VCU's community courses are cheap, actually. It's not a matriculated program. Mandi
Q574_C3	tnx`mandi and tented tnx guys! ok i'll try that VCU, what does VCU stands for..?
Q574_C4	tnx nomerci tnx so much nomerci....i'll try it
Q575	i came as a business visa shall i need exit permit i came as a business visa shall i need exit permit
Q575_C1	RE: i came as a business visa shall i need exit permit I think only if your Business Visa was extended past the initial 30 days.
Q575_C2	RE: i came as a business visa shall i need exit permit wot ever the visa u com for, once to enter qatar and if u want to go out u need Khurooj (exit permit) u can take it online with ur sponsors authority.
Q575_C3	RE: i came as a business visa shall i need exit permit Yes. Exit permit is required if you stayed more than 15 days inside Qatar.
Q575_C4	RE: i came as a business visa shall i need exit permit You do not require exit permit once you come into the country on Business visa. Please, for all those who have answered to this question, you need to do your homework. I work in the HR and this is one of my core jobs to arrange visas for incoming candidates for the past 2.5 years.
Q575_C5	RE: i came as a business visa shall i need exit permit Dear carpediem, I guess your employer will kick your a** soon. If business visa is extended for more than 30days in Qatar then you must obtain an exit permit to leave the country.
Q576	Procedure of direct hire from Phils to Qatar Hi, I want to inquire anyone who knows the procedure  on how to come in Qatar via direct hire? My son has a job offer here in Qatar;visa and contract is ready, but since the company is new they dont know the hiring process of direct hire from Philippines. Anybody who gone thru the same kindly share the info on what steps to undergo. Thanks.
Q576_C1	RE: Procedure of direct hire from Phils to Qatar thanks to all
Q576_C2	RE: Procedure of direct hire from Phils to Qatar thanks to all
Q577	YUM CHA! Ok so i had a craving for dim sims... was googling it and came across the whole dumplings...etc... then i went on to thinking about YUM CHA! Does anyone know if they have any place that do yum cha at all???
Q577_C1	RE: YUM CHA! yes, in my house. :) i think not much people will understand your thread. why not yum seng? :p
Q577_C2	RE: YUM CHA! nope but you can get some dim sum frozen in the supermarkets
Q577_C3	RE: YUM CHA! Mmm.... i looked up chopstix and they have good reviews... thanks wvp!! :->  And where in the frozen section mrs?? what shop are you talking about....
Q578	My yahoo messenger has been blocked in the iphone 4s wht to do? when am trying to open the yahoo messenger in the iphone it shows only the keypad and black screen even when i tried to open my yahoo id in computer it says ure id has been blocked so i used my secret question to open it .after i checked again the messenger on the phone but same prblm black screen and keypad only.. any idea wht shall i do? thanks in advance.
Q578_C1	RE: My yahoo messenger has been blocked in the iphone 4s... Reactivate Your Yahoo! Account Yahoo maintains its account disabled for 90 days before the reality of spending and eliminate it. Therefore, if you change your mind within 90 days, you can get your account back as it was when asked to terminate your Yahoo account.  The revival is quite simple. You do not have to go looking for a page or a link to it. Simply enter your Yahoo account on any page and you can start.  Re-Activate Yahoo Account - Sign in to Yahoo  The same old code looks strange image will reappear and have to enter it. Look carefully youre likely to make a mistake if they do, and then click Next.  Re-Activate Yahoo Account - click Re-activate  On this page you will see a small message is quite simple  not always possible to retrieve data from your Yahoo mail account. Therefore, keep your fingers crossed and click Re-activate.  Re-Activate Yahoo Account - The Final Page  This is the final page. If you are seeing this, then your account is not outside the Yahoo system and will be in service within 24 hours. However, if you do not receive this message, you may want to register again or contact Yahoo.
Q578_C2	RE: My yahoo messenger has been blocked in the iphone 4s... you do one thing just remove the yahoo messanger app and reinstall that. may be some missing in the updating i had that problem before in my iPhone i done like that then it was ok
Q579	Starting up bussiness in Qatar hi  i have a few questions, we have a company already set up outside qatar and we want to open up a regional office in Doha, whats the proceduers for such thing?   Do we have to set up the company fully again in Qatar?  Do we need a local partner? etc  Thanks  AJ
Q579_C1	and also, what is the min and also, what is the min investment capital i need to start up a company in Qatar?
Q579_C2	I work for a British Hi AJ,  I work for a British managed company that specializes in partnering with companies coming to Qatar. The most common form of business setup in Qatar is a Limited Liability Company. To incorporate that company you'll require;  - Share capital of a Qrs200,000. - Your Qatari partner must have at least 51% ownership.  - The profit share of the partners does not have to match the shareholding of the partners.   Our company is in a position to act as your local partner. This is the basics, if you'd like to know more, please feel free to PM me for more information.  Best regards, James
Q579_C3	i was thanks for the info.  i was just reading online about the new law that came out, it says that if your in the ICT sector then you can actully own 100% of the company is that true?  Regards,
Q579_C4	Ok, the answer to that is, Ok, the answer to that is, yes and no! It's true this 'law' was announced about 18 months ago. As with many things here, in reality it's not quite as straight forward as it would seem. Yes, theoretically an IT company can be under 100% foreign ownership, however, in practice it seems most of the companies involved are large international companies who have been 'invited' to come to Qatar by HRH.  It's an expensive route to take, and frankly there's little chance of approval. We would be happy to go down this road on your behalf and make the application, though it won't be cheap with an extremely minimal chance of success!  Any other info, let me know.
Q579_C5	hi me  and my friend are looking froward to start bussiness here in doha...so we can be ur partners..if ur intersting plz email me.. muss44@hotmail.com
Q579_C6	sorry sorry its muss24@hotmailcom
Q580	Check it...if u are GENIUS:P Please solve this Puzzle, and please comment Its not difficult but u have to think very deep. Thanks.
Q580_C1	its SOLVED :) its SOLVED :) <a title="Everything you need to know about living in Doha, Qatar" href="http://www.qatarliving.com"><img src="http://static.qatarliving.com/badges/150x50_iloveqatarliving.gif" alt="Everything you need to know about living in Doha, Qatar" /></a>
Q580_C2	its SOLVED :) its SOLVED :) <a title="Everything you need to know about living in Doha, Qatar" href="http://www.qatarliving.com"><img src="http://static.qatarliving.com/badges/150x50_iloveqatarliving.gif" alt="Everything you need to know about living in Doha, Qatar" /></a>
Q581	Hi,i am new in doha ! anybody andhra people here ? friends !
Q581_C1	RE: Hi,i am new in doha ! anybody andhra people here ? R U looking for any body or people? frist decide..... then post......
Q581_C2	RE: Hi,i am new in doha ! anybody andhra people here ? R U looking for any body or people? frist decide..... then post......
Q581_C3	RE: Hi,i am new in doha ! anybody andhra people here ? No, yesterday they all gone to MARS to watch Miss Universe!
Q581_C4	RE: Hi,i am new in doha ! anybody andhra people here ? why you don't like any "body" else from your country...?  actually your Chiru and Nagu dadas were here last week....they were cuaght and deported as illegal immigrants.  People some the same country, but racist behaviour against each other..grow up...Stop this.
Q582	Medical Test For Infant - Required ? Medical test is required for infant to extend the visit visa ?  People says like medical test is not required, but you need to pay the 100 QAR in the medical commision for formalities, is that true ?  Why we need to pay 100 QAR for no medical test for infant ?  My kid is just 6 months old.  Let me know your valuable suggestion.
Q582_C1	There is no medical test. There is no medical test.  But they will ask for a doctor's statement giving the infant's blood type (for the medical cards) and it's also worth bringing immunization records.
Q582_C2	Infant need to go Medical Commission or not????? We need to take the infant to Medical Commission as well or I can go myself with all documents and pay the QAR 100?  Other thing, blood group mention on immunization card (from Pakistan) is OK or I have to take blood group report again from any laboratory from Qatar? Thank you.
Q582_C3	No blood test is required for No blood test is required for child upto age of 16yrs.No need to take your child to medical commision.QR 100 is fees for stamping by medical comission on your documents.Mother of the child must be needing medical tests.Better give child's paper with her while sending her in female section as work will get faster there.  Original visa alongwith copy mentioning your mobile no., original passport +copy,PP photo,Sponser's(Father)RP-THESE ARE REQUIRED.NOTHING ELSE!
Q583	OMAN hello has anyone ever woked or lived in Oman? My friend was offered a job there in finance and knows what life is like, weather socialzing
Q583_C1	It is a good place to live. It is a good place to live. Quite & clean. Omanis are very warm to expatriates.   -------------------------------;-)--------------------- <A HREF="http://www.kiva.org" TARGET="_top"> <IMG SRC="http://kiva.org/content/about/images/kivaBannerSmall_E.jpg" WIDTH="95" HEIGHT="45" ALT="Kiva - loans that change lives" BORDER="0" ALIGN="BOTT
Q583_C2	Oman You would love Oman, totally different mentality from Here. Omanis work all levels of jobs, from Taxi drivers to highly skills jobs, not like in Doha, Dubai, or Saudi's were you see third world workers doing all the jobs.   Is better and cleaner..    <img src="http://logo.cafepress.com/8/2817834.5660348.jpg"> <img src="http://logo.cafepress.com/8/2817834.4555008.jpg"> <img src="http://i43.tinypic.com/o53rra.jpg">
Q583_C3	The people and the country The people and the country of Oman are just beautiful. It's less expensive than Qatar, but the salaries are lower also. Mandi
Q583_C4	Thanks thank you everyone I will send her  this info
Q584	Men Shoes where can I find good, comfortable men shoes in Doha ? not interested in made in India products
Q584_C1	since how many years are u since how many years are u here in this country ?  After answering tat question, i can tell you were u get good Mens shoes....:(
Q584_C2	how many user ids you have how many user ids you have created before this?
Q584_C3	shoes.. visit Villagio and I am sure you would find a whole bunch of them especially the branded ones..if you are after them.. :)
Q584_C4	Try Bally, Available in 51 Try Bally, Available in 51 East. You will never want to wear any other brand.
Q584_C5	Shoes I have many pairs of shoes (Aldo, Milano etc.) I've noticed most of them are made in India but the quality is excellent and very comfortable to wear too.  Whats wrong with shoes made in India?
Q584_C6	shoes for men shoes for men
Q584_C7	are you looking for Made in are you looking for Made in USA shoes?
Q584_C8	51 East got nice Italian 51 East got nice Italian Shoes for men.
Q585	Vist visa Hi everyone,  My husband has recently moved to doha. I am planning to go to doha as soon as possible. Is it possible to go on a visit visa now and then convert it into a family visa? If so please tell me the what is the procedure for the same and the cost for applying for visit visa and converting it into family visa. Also please let me know if there is any website which provides these details.  Thanks.
Q585_C1	RE: Vist visa Yes you can.  Once you arrive in doha on visit visa, your husband can sponsor you for RP. Processing time is about 2 weeks if you follow up.  you can get all the info from  http://www.moi.gov.qa/site/english/
Q585_C2	RE: Vist visa qatarbrat, dont be so quick.  pallash, first you may want to make sure that your husband is eligible to sponsor you, i.e. he meets certain requirements set up by the Qatari authorities
Q585_C3	RE: Vist visa I am sure as an Engineer your husband will be getting the minimum salary requirement (Qr. 7000)for applying your visa.
Q585_C4	RE: Vist visa U need the following documents to apply for ur visa. ur husband's salary certificate. Noc from ur husband's employer. ur Husband's QID copy. ur and ur husband's passport copy. Attested (Indian foriegn affairs-Delhi) copy of ur marriage certificate.(here also need attestation by Indian embassy and expatriate affairs.-for attestation u need original marriage certificate here. ) if ur husband have all these documents with him he can directly go to gharraffa emigration and submit the application.ur husband's company's PRO also can do it. Fees Qrs.200/- then u will get family visit visa. ur entry visa's validity up to 1 month. after ur entry in qatar u wants to go to medical check up . then u can get 5 months more.fees Qrs.200/- per month. u can stamp it in ur passport monthly or 5months together. Then ur husband can apply a permanent visa for u in this period.It can start immediate after ur entry here or after five months.  For permanent visa also u wants to follow up the same procedure.(like new application) ur husband need minimum 7000/- riyal salary.(Minimum 3months bank statement must). Electricity and water bill(it should be in the name of ur husband.) if ur husband's  company providing company's accommodation to him give proof of it, then no need for electricity bill. ur medical check up validity is for 6 months. if u will get permanent visa with in this period u don't want to under go the medical check up again. goodluck if u need some more information regarding this, don't hesitate to send a PM to me.
Q585_C5	RE: Vist visa Family Visit Visa:  Hello, Ask ur husband to visit qatar immigration office along with belove these 1) Wife PP copy 2) Husband RP copy 3) Husband PP copy 5) marriage certificate copy 6) Salary statement (must 7.500 QR)If lessthan this they will ask you many questions.  Once he have these all, he can get application for applying visit visa for his spouse. Once he fill the form and after the submission he will get the appointment through SMS. During the inerview he may answere some questions. Once passed they will issue the visit visa. Wife can stay with husband sponser ship up to 2 months without processing of RP. If she want to stay morthan 3 months she must go for medical test in order to RP process.
Q586	Blood Pressure digital Monitor does anyone has an idea where to buy blood pressure digital monitor? pls recommend if u know.
Q586_C1	RE: Blood Pressure digital Monitor The Best one u can go for is the one available at National Show room that is the Panasonic Brand......u will never have any regrets....
Q586_C2	RE: Blood Pressure digital Monitor Hi, As mentioned before,Panasonic,beur,omron ,Braun etc are good machines...u can get from any pharmacies..But try to get one that measures at the upper arm and not the wrist,as the upper arm ones are supposed to be more accurate...
Q586_C3	RE: Blood Pressure digital Monitor GO FOR BRAND NAME "OMRON" LOCAL AGENT IBN ALHYTEM MEDICAL CO
Q586_C4	RE: Blood Pressure digital Monitor check the panasonic showroom they have a good brand also.
Q586_C5	RE: Blood Pressure digital Monitor Almost all pharmacies have different brands and type of blood pressure monitor.
Q587	Transferring Visa After the Expiry Is it possible to transfer Qatari visa to another sponcor after the expiry? I know that it is leagal to stay in the country for 90 days after the expiry of visa, but will I have problems transferring visa to another sponcor after it expires?
Q587_C1	RE: Transferring Visa After the Expiry Your Residence permit is expired. It means you do NOT have any residence permit. The grace period is given to finalize your matters in Qatar in case you didn't have enough time, and to leave the country. Grace period doesn't mean you have a valid RP. And since you do not have an RP, WHAT the he'll are you going to transfer? You have to renew your RP with your current sponsor, after that you can transfer your RP.
Q587_C2	RE: Transferring Visa After the Expiry ..and how many days can one stay if the visa is cancelled.
Q587_C3	RE: Transferring Visa After the Expiry i think if your sponsor give you NOC then you have to pay the palenty of Qr 200 per day and you can proceed, but it is better that you should consult some legel advisor,
Q587_C4	RE: Transferring Visa After the Expiry The question is: How legal is to do the new visa with a new company AFTER the expiry of the present visa without leaving Qatar? My present sponsor's agreed to give me NOC. He is frightning me that Immigration will not do the new visa for me as the old one wil be expired.
Q587_C5	RE: Transferring Visa After the Expiry if you have submitted your case for sponsorship changing before expiry and when your case of changing is in processing and your visa expire then it is okand you have to pay only fine.i think fine is Qr 200
Q588	Is it a good job opportunity? I've got a job opportunity in Doha with a basic salary of 13500 Rials (with good furnished accomodation, medical care, education allowance in public schools, yearly flight tickets allowance for the family (equal to one salary), car loan free from interest); what do you think about this offer? Is it a good opportunity for a couple with a child of 7 years old?  thanks in advance.
Q588_C1	RE: Is it a good job opportunity? Average, but not good.
Q588_C2	RE: Is it a good job opportunity? If accommodation, child's education and transport is covered outside 13500 QAR, I would say it is a good offer. Still depends upon your qualification and experience and how much you are earning back home.
Q588_C3	RE: Is it a good job opportunity? You do one thing..Try to compare your offered package with the one that you are getting in your present working firm..If you think that you can do much better in DOHA with the OFFERED salary, accept the offer then..
Q588_C4	RE: Is it a good job opportunity? Thank you for the advice you're so kind, I think that i'll accept this offer hoping that my wife will find a new job in DOHA(teacher at the university)
Q588_C5	RE: Is it a good job opportunity? It is a good offer with a saving potential of 8000 QR per month. if u are an average spender.
Q589	Where do i donate all my books??! I have a whole load of novels that i would like to give away or donate asap. i am moving to a smaller house so i dont have any space basically.  if anyone knows where i can donate them to, comment here or gimme a call on 77670332.  thank you =]
Q589_C1	No Problem! You can give those to me as i'm interested ok
Q589_C2	and yes i have horror Novels and yes i have horror books
Q589_C3	goosebumps???? goosebumps????
Q589_C4	donated books I do volunteer work for cats in qatar. we collect donated books and sell them to pay for animal care. QLers have kindly donated in the past and we would appreciate your donation.
Q589_C5	hey oiffyo do u have hey oiffyo do u have goosebumps??
Q590	working visa working visa? what is the procedure and how long does it takes?
Q590_C1	Apply for a job, get hired and all else will follows Why worry about the (working) visa when you haven't applied for a job (In Qatar) yet?  I find this like: farmer counting the eggs but the layer hen is still in the market waiting to be bought/purchased and the chicken coop hasn't been built yet...
Q590_C2	azilana7037  please direct me to where i can apply for a job please direct me to where i can apply for a job or if you know any other thing that i can do to get job in Qatar. thanks
Q590_C3	use google search use google search
Q590_C4	tnx olami4k....I was about to say that... To <b>azeez</b>: you want visa? You look for job and to do that, you do search...  YOU HELP YOURSELF...you can't expect everything to fall on your lap...
Q590_C5	is it possible to fly without resident permit or valid visa? Is it possible to fly without resident permit or valid visa of a country that am recite in presently to a country that i have valid visa to travel to? Thanks i need quick respond.
Q590_C6	is it possible to fly without resident permit or valid visa? Is it possible to fly without resident permit or valid visa of a country that am recite in presently to a country that i have valid visa to travel to? Thanks i need quick respond.
Q590_C7	thanks but after getting the thanks but after getting the job how long does it takes to get the visa
Q590_C8	Depends upon the availability Depends upon the availability of visa of your Nationality assigned to your company. If every thing is in order, it can be issued with in weeks. But it may take even up to 2-3 months for your company to get one issued. So have patience.
Q591	Europe destination for this July? I am looking for a place I can go with my family (3 yrs old kid), beginning of July. No beach. No shopping. No big cities. No nightlife. N eed beautiful scenery (greenery, mountains, countryside ...), nice food, nice walks, nice weather some art and culture, and ideally kids entertainment.  Any advice?
Q591_C1	RE: Europe destination for this July? Cinque terre in Italy. Dordogne in France. Switzerland.  You should get great deals this year due to the recession.
Q591_C2	RE: Europe destination for this July? thank you moma,  do you recommend any specific location in Switzerland?
Q591_C3	RE: Europe destination for this July? Try centreparcs. They are perfect for a family vacation and have "villages" in several European countries. My husband and son had a great time at centreparcs "Bispinger Heide" in Germany.  http://www.centerparcs.com/EN/GB/home
Q591_C4	RE: Europe destination for this July? Hi,  You could try the Lake District in the UK, I have found the best places are Coniston, Kendal and Windermere. I used to go with my wife and kids at least three times a year. Weather should be ok that time of year, and it is fantastic for walks, and very safe for children.   If you hired a car you could drive round the different villages and stay in a different B&B or Guest House every night if you wanted, so there would be plenty of variety.
Q591_C5	RE: Europe destination for this July? Go to Austria. It is slightly cheaper than the rest of Europe. It has a beautiful landscape and has loads of historic architecture. The Vienna zoo is one of the best zoos in the world. Also, their museums of arts, natural history and science are amazing.
Q592	bring My car hi all :  I am new in doha. and I have a question.  I have car in my home country Syria .  can I bring it to doha are this all allowed in doha,  and If I want to bring it any one know a shipping company can ship my car door to door  and If I bring it who many month can I stay in qatar    I am on working visa and I don't want to bay 2000 Ryal at less to rent a car ,  thank you all
Q592_C1	2006 no it is peugeot  manufacture 2006
Q592_C2	You can convert it to a You can convert it to a Qatar car by changing the license plates (there's a procedure you should do both in Syria and here), then you can keep the car here as long as you want.  Otherwise, if it stays a Syrian car, it's for a few months (I don't know exactly how long)
Q592_C3	Manis...you can check with Manis...you can check with GAC.. hopefully they can assist you...  One Life to Live...Live It To The Fullest
Q592_C4	Don't bring it. Buy one from Don't bring it. Buy one from here.  ----------------- HE WHO DARES WINS
